year,quarter_num,quarter,amount,transactions,active_clients,active_sams,designers,admins,servers
2012,1,Q1,139032.31,43,8,32,63,70,6
2012,2,Q2,187478.45,43,14,35,93,81,20
2012,3,Q3,205817.02,53,14,48,73,87,16
2012,4,Q4,330043.46,57,12,72,115,170,20
2013,1,Q1,305647.31,59,19,70,124,140,30
2013,2,Q2,489985.96,86,26,87,173,179,44
2013,3,Q3,395092.2,74,18,76,156,190,35
2013,4,Q4,558091.42,85,19,128,200,267,52
2014,1,Q1,528511.05,77,24,106,178,247,64
2014,2,Q2,542428.28,61,22,98,182,249,46
2014,3,Q3,710905.74,83,20,125,272,358,61
2014,4,Q4,1173958.64,116,23,205,462,549,118
2015,1,Q1,796952.47,95,19,176,306,335,62
2015,2,Q2,1234658.07,124,24,229,494,589,105
2015,3,Q3,1523085.44,132,12,293,556,680,135
2015,4,Q4,2241930.08,163,32,429,861,1067,187
2016,1,Q1,957776.95,102,19,203,336,417,85
2016,2,Q2,1723738.31,137,38,274,600,752,127
2016,3,Q3,1687701.66,146,35,343,724,747,136
2016,4,Q4,2154099.2,157,26,413,815,1069,216
