week_of_quarter,year,weekly_amount,running_total
1,2012,13148.42,13148.42
2,2012,18882.61,32031.03
3,2012,11527.36,43558.39
4,2012,9501.44,53059.83
5,2012,22115.53,75175.36
6,2012,17975.510000000002,93150.87
7,2012,21128.91,114279.78
8,2012,35048.17,149327.95
9,2012,0.0,149327.95
10,2012,8770.27,158098.22
11,2012,3160.51,161258.73
12,2012,17103.68,178362.41
13,2012,9116.04,187478.45
1,2013,7040.07,7040.07
2,2013,38949.130000000005,45989.200000000004
3,2013,30913.27,76902.47
4,2013,17501.9,94404.37
5,2013,57447.61,151851.97999999998
6,2013,52469.49,204321.46999999997
7,2013,37121.17,241442.63999999996
8,2013,29891.29,271333.92999999993
9,2013,28789.89,300123.81999999995
10,2013,54929.29,355053.1099999999
11,2013,41405.43,396458.5399999999
12,2013,51391.869999999995,447850.4099999999
13,2013,42135.55,489985.9599999999
1,2014,33547.02,33547.02
2,2014,0.0,33547.02
3,2014,11855.95,45402.97
4,2014,11375.2,56778.17
5,2014,43784.71,100562.88
6,2014,48724.33,149287.21000000002
7,2014,21273.93,170561.14
8,2014,57494.78,228055.92
9,2014,50765.53999999999,278821.46
10,2014,28668.42,307489.88
11,2014,50352.98,357842.86
12,2014,85324.28,443167.14
13,2014,99261.14,542428.28
1,2015,80800.67,80800.67
2,2015,32549.73,113350.4
3,2015,65800.63,179151.03
4,2015,99316.67,278467.7
5,2015,51295.53,329763.23
6,2015,92858.97,422622.19999999995
7,2015,57219.31,479841.50999999995
8,2015,130653.81000000001,610495.32
9,2015,102777.58,713272.8999999999
10,2015,129201.92,842474.82
11,2015,151133.28,993608.1
12,2015,115813.32,1109421.42
13,2015,125236.65,1234658.0699999998
1,2016,39670.24,39670.24
2,2016,63085.97,102756.20999999999
3,2016,136581.88,239338.09
4,2016,127307.68000000001,366645.77
5,2016,156153.7,522799.47000000003
6,2016,80726.89,603526.36
7,2016,115648.87,719175.23
8,2016,93535.84,812711.07
9,2016,165163.87,977874.94
10,2016,177617.91999999998,1155492.8599999999
11,2016,219674.82,1375167.68
12,2016,199146.95,1574314.63
13,2016,149423.68,1723738.3099999998
