order_id,order_date,year,quarter,quarter_num,week_of_quarter,product,license_type,region,country,company,amount,admins,designers,servers,sams,active_client_flag
ORD-20121-00027,2012-01-09,2012,Q1,1,2,Product 2,Invoice,EMEA,UK,Company 116,2655.6,2,2,0,2,0
ORD-20121-00017,2012-01-11,2012,Q1,1,2,Product 2,Invoice,EMEA,NO,Company 148,3217.26,0,1,0,0,1
ORD-20121-00004,2012-01-16,2012,Q1,1,3,Product 1,Invoice,EMEA,IT,Company 141,3454.52,2,0,0,3,0
ORD-20121-00008,2012-01-17,2012,Q1,1,3,Product 1,Invoice,EMEA,UK,Company 144,4373.61,3,0,0,0,0
ORD-20121-00036,2012-01-21,2012,Q1,1,3,Product 2,Invoice,North America,US,Company 98,1278.17,1,1,0,0,0
ORD-20121-00028,2012-01-22,2012,Q1,1,4,Product 1,Invoice,EMEA,UK,Company 147,5090.4,4,2,0,1,0
ORD-20121-00025,2012-01-22,2012,Q1,1,4,Product 2,Invoice,EMEA,UK,Company 24,1228.19,1,3,0,0,1
ORD-20121-00035,2012-01-23,2012,Q1,1,4,Product 2,Invoice,EMEA,NO,Company 48,3216.52,1,0,0,1,0
ORD-20121-00038,2012-01-31,2012,Q1,1,5,Product 2,Maintenance Renewal,EMEA,UK,Company 9,1508.61,0,2,0,0,0
ORD-20121-00015,2012-02-04,2012,Q1,1,5,Product 1,Invoice,North America,US,Company 145,3278.51,2,0,0,0,0
ORD-20121-00010,2012-02-05,2012,Q1,1,6,Product 1,Maintenance Renewal,EMEA,UK,Company 80,1304.51,1,1,0,0,0
ORD-20121-00032,2012-02-06,2012,Q1,1,6,Product 2,Invoice,EMEA,GR,Company 138,1567.74,0,0,0,0,0
ORD-20121-00021,2012-02-08,2012,Q1,1,6,Product 1,Invoice,North America,US,Company 72,6235.66,4,0,1,2,0
ORD-20121-00033,2012-02-09,2012,Q1,1,6,Product 1,Invoice,EMEA,DE,Company 129,3854.54,0,1,0,1,0
ORD-20121-00043,2012-02-10,2012,Q1,1,6,Product 1,Invoice,North America,US,Company 88,8162.12,6,4,1,0,1
ORD-20121-00040,2012-02-13,2012,Q1,1,7,Product 1,Invoice,EMEA,NO,Company 18,4504.05,4,1,0,2,1
ORD-20121-00001,2012-02-14,2012,Q1,1,7,Product 2,Maintenance Renewal,EMEA,NO,Company 135,1901.66,0,1,0,1,0
ORD-20121-00014,2012-02-19,2012,Q1,1,8,Product 1,Maintenance Renewal,EMEA,UK,Company 100,1078.43,0,0,0,0,0
ORD-20121-00026,2012-02-23,2012,Q1,1,8,Product 1,Invoice,North America,US,Company 83,3155.09,1,3,0,0,0
ORD-20121-00037,2012-02-24,2012,Q1,1,8,Product 2,Invoice,North America,US,Company 146,2293.39,1,3,1,0,0
ORD-20121-00009,2012-02-25,2012,Q1,1,8,Product 2,Maintenance Renewal,EMEA,UK,Company 93,806.47,0,1,0,1,0
ORD-20121-00034,2012-02-25,2012,Q1,1,8,Product 2,Maintenance Renewal,EMEA,IT,Company 65,480.74,0,0,0,0,0
ORD-20121-00016,2012-02-27,2012,Q1,1,9,Product 1,Invoice,EMEA,FR,Company 90,2765.2,0,0,0,0,0
ORD-20121-00019,2012-03-06,2012,Q1,1,10,Product 1,Invoice,EMEA,UK,Company 51,6069.38,5,5,0,1,0
ORD-20121-00039,2012-03-07,2012,Q1,1,10,Product 2,Maintenance Renewal,EMEA,UK,Company 143,1240.51,1,0,0,0,0
ORD-20121-00012,2012-03-08,2012,Q1,1,10,Product 1,Invoice,EMEA,UK,Company 3,2302.93,1,3,0,1,1
ORD-20121-00029,2012-03-08,2012,Q1,1,10,Product 1,Invoice,North America,US,Company 89,7082.62,7,4,0,0,0
ORD-20121-00020,2012-03-11,2012,Q1,1,11,Product 2,Invoice,North America,US,Company 96,4286.08,0,6,0,0,0
ORD-20121-00030,2012-03-12,2012,Q1,1,11,Product 1,Invoice,EMEA,NO,Company 74,4680.23,3,1,0,3,0
ORD-20121-00003,2012-03-12,2012,Q1,1,11,Product 2,Invoice,EMEA,UK,Company 129,3645.03,2,1,0,0,0
